3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
01.04.1926	796	Umuru Sıhhiyeye Müteallik Bütçeler ile Bilumum Memurini Sıhhiye Hakkında Kanun
07.04.1926	801	Sinni Mükellefiyet Dahilinde Bulunanların Silahsız Hizmeti Mucip Arızai Vücudiyelerinin Tedavisi Hakkında Kanun
07.04.1926	804	Ankara - Ereğli Demiryolunun İnşa ve İşletilmesi Hakkındaki 21.12.1341 Tarihli Kanunun İkinci Maddesinin Tadiline Dair Kanun
10.04.1926	806	Denizli de Şamlı Çiftliği Dahilindeki Araziye Bedeli İcar Olarak Tahakkuk Ettirilip Tahsil Edilmiyen Mebaliğin Affı Hakkında Kanun
19.04.1926	814	Seferberlikte ve Harekatı Askeriye Esnasında Nakliyatı Askeriye Ücuratının Sureti Tesfiyesi Hakkında Kanun
22.04.1926	817	Orta Tedrisat Kanununun 28 inci Maddesinin Tadiline Dair Kanun
22.04.1926	819	Muallim Mekteplerine Muavenet Hakkında Kanun
24.02.1926	821	Ereğli Kömür Havzasında Yıkama Tesisatı ve Vesaiti Nakliye İnşası İçin İstikraz Akdine veya Taahhüdata Girişilmesine Mezuniyet İtasına Dair Kanun
24.04.1926	822	Lise ve Orta Mektepler Talebesinden Nehari Ücreti Alınmaması Hakkında Kanun
26.04.1926	824	Türk Tebaasiyle Tebaai iraniyenin İzdivaçları Hakkında Olan Memnuiyetin Muhafazasına Dair 24.09.1290 Tarihli Nizamnamei Muaddil Kanun
26.04.1926	826	Etibbanın Sıtma Enstitülerinde Sıtaj Mecburiyetleri Hakkında Kanun
12.05.1926	836	Vefaen Beyi ve Ferağ veya Teminat İrae Olunan Emvali Gayrimenkulenin İcra Kanunu Mucibince Müzayede ve Füruhtu Hakkında Kanun
12.05.1926	837	7 Ramazan 1274 Tarihli Arazi Kanununun Bazı Mevaddının İlgasına Dair Kanun
20.05.1926	842	İlk Mektep Muallim, ve Muavinleri Hakkında Kanun
20.05.1926	843	Muallim Mekteplerine Muavenet Hakkındaki 22.04.1926 Tarih ve 819 Numaralı Kanuna Müzeyyel Kanun
22.05.1926	844	Emlak ve Eytam Bankası Kanunu
26.05.1926	854	Mücadelei Milliyeye İştirak Etmiyen Memurin Hakkında Kanun
20.05.1926	862	Memleketin İmarı Maksadiyle 1330 Senesinden itibaren Yeni Yol ve Meydan Açılması veya Genişletilmesi veya Alelumum Memleket İmari Maksadiyle Hükümet ve Belediyelerce Hedmettirilen Mebani Hakkında Kanun
30.05.1926	870	22.04.1341 Tarihli Şurayı Askeri Kanununun İkinci Maddesini Muaddil Kanun
30.05.1926	871	Muallimin ve Talebenin Askerlikten Tecilleri Hakkındaki 21.02.1338 Tarihli Kanunun Birinci Maddesini Muaddil 26.01.1340 Tarihli Kanuna Müzeyyel Kanun
30.05.1926	873	Zabıtan ve Memurini Askeriyenin Bazı Teçhizatı Seferiyesinin Sureti Tedarikine Dair Kanun
30.05.1926	876	Ankara Şehri Otomatik Telefon Kanunu
31.05.1926	880	Aşar Mültezimlerinden Edayı Deyn Edenlerin Emlaki Merhune ve Mutefevvizelerinin İadesine Dair 29.08.1336 Tarihli Kanunun Hükmünün 1928 Senesi Gayesine Kadar Temdidi Hakkında Kanun
31.05.1926	882	Ermeni Suikast Komiteleri Tarafından Şehit Edilen veya Bu Uğurda Sureti Muhtelife ile Düçarı Gadrolan Ricalin Ailelerine Verilecek Emlak ve Arazi Hakkında Kanun
01.06.1926	887	Emvali Gayrimenkule Tadilat Komisyonlarının Sureti Teşkili Hakkında Kanun
01.06.1926	890	Trablusgarp, Balkan Harbi. Umumi ve İstiklali Milli Muharebatında Şehit Olan Erkan, Ümera ve Zabitan ile Mansubini Askeriyenin Bazı Borçlarının Affı Hakkındaki 02.12.1341 Tarihli Kanunun Birinci Maddesine Bir Fıkra Tezyiline Dair Kanun
01.06.1926	892	Orman Nizamnamesinin 16 ncı Maddesi Mucibince Alınacak Yaylakiye Resminin İlgasına Dair Kanun
02.06.1926	893	Umumi Tahriri Nüfus İcrası Hakkında Kanun
02.06.1926	894	İdarei Umumiyei Vilayat Kanunu Muvakkatinin 103 üncü Maddesinin Tadiline Dair Kanun
07.06.1926	912	Ordu, Bahriye ve Jandarma Zabitan ve Memurini Hakkında Kanun
08.06.1926	913	Sun i İpekten Mensucat İmalinin Men i Hakkında 06.03.1340 Tarihli Kanunun İlgasına Dair Kanun
08.06.1926	917	Beynelmilel Yataklı Vagonlar Şirketine ait Yataklı ve Yemekli Vagonların Gümrük Resminden Muafiyetine Dair Kanun
08.06.1926	918	Manisa, Kasaba ve Alaşehir Kazalarındaki Emvali Metruke Bağlarından Dolu Sebebiyle Hasara Uğrayanlara Ait Bedeli İcar Bakiyesinin Affı Hakkında Kanun
08.06.1926	919	Dini ve Milli Bayram Günlerinde İstimal Edilecek Hilaliahmer Şefkat Pulları Hakkında Kanun
09.06.1926	923	Derdest-i Teşkil Olan Bursa Kaplıcaları Türk Anonim Şirketine Evkaf Müdiriyeti Umumiyesinin İştirake Mezuniyetine Dair Kanun
10.06.1926	928	Türk Tayyare Cemiyetinin Bazı Muamelatında Umumi İstihlak ve Eğlence ve Hususi İstihlak Vergilerinden Muafiyetine Dair Kanun
10.06.1926	930	Şurayı Devletin Memurin Muhakematına Müteallik Vezaifinin Sureti İfası Hakkındaki Kanuna Müzeyyel 19.04.1341 Tarihli Kanunun 2 nci Maddesinin Tadiline Dair Kanun
10.06.1926	931	Öksüz Yurtları Teşkilatı Hakkındaki 02.04.1333 Tarihli Kanunun İlgasına ve Öksüz Yurtları Hesabatının Tasfiyesine Dair Kanun
18.11.1926	932	İstihlak Sırasında Trakyaya İzam Kılman Memurini Zabıtaya Verilen Harcırahlar Hakkında Kanun
13.12.1926	937	Ankara Şehri Olomatik Telefon Kanununun 7 nci Maddesinin Tadiline Dair Kanun
25.12.1926	943	Ankara - Ereğli Demiryolunun İnşa ve İşletilmesi Hakkındaki 12.12.1341 Tarih ve 692 Numaralı Kanunun 2 nci Maddesini Muaddil 07.04.1926 Tarih ve 804 Numaralı Kanunun Birinci Maddesini Muaddil Kanun
25.12.1926	944	Demiryolları ve Limanlar ve Su İşleri İçin 200 Milyon Liralık Bono İhracı Hakkında Kanun
25.12.1926	945	Samsun Limanının İnşaası Hakkında Kanun
25.12.1926	946	Mücadalei Milliyeye İştirak Etmiyen ve Hududu Milli Haricinde Kalan Erkan, Ümera, Zabitan ve Mensuhini Askeriye Hakkında Yapılacak Muameleyi ve Cidali MiIliye İştirak Edenlerin Tekaüt Müddetlerinin Sureti Hesabını Natik 25.09.1339 Tarih ve 347 Numaralı Kanunun 7 nci Maddesine Müzeyyei Kanun
25.12.1926	947	Jandarma ve Hudut Kıtaatı Küçük Zabıtan ve Neferatının Usulü İaşeleri Hakkında Kanun
06.01.1927	955	Hopa da Rusumat İdaresi İnşaası İçin Teberrü Olunan Arsaların İadesine Dair Kanun
27.01.1927	969	Jandarma Efrat ve Küçük Zabıtanının Mektep Vergisinden Muafiyetine Dair Kanun
19.02.1927	976	Mücadelei Milliyeye İştirak Etmiyen Memurin Hakkındaki 26 Mayıs 1926 Tarih ve 854 Numaralı Kanuna Müzeyyel Kanun
02.03.1927	979	Takriri Sükun Kanununun İkinci Maddesine Muaddil Kanun
02.03.1927	981	Mehakimin Teşkilatına Ait Ahkamı Muaddil Kanunun 5 inci Maddesiyle Maddei Muvakatesine Birer Fıkra İlave Edilmesi Hakkında Kanun
05.03.1927	988	Buca ve Kemalpaşa Havalisindeki Emvali Metruke Bağlarından Dolu Sebebiyle Hasara Uğrayanlara Ait Bedeli İcar Bakiyesinin Affı Hakkında Kanun
09.03.1927	989	Umuru Belediyeye Müteallik Ahkamı Cezaiye Hakkındaki Kanunun 5 inci Maddesine Bir Fıkra ilavesine Dair Kanun
21.03.1927	994	Türkiye Sanayi ve Maadin Bankasının Aktedeceği İstikraza Maliye Vekaletinin Mezuniyetine Dair Kanun
28.03.1927	1000	Bila Vasıta Vergiler Üzerine İdarei Hususiyeler Namına Küsüratı Munzamme Tarhı Hakkında Kanun
10.04.1927	1004	Devletçe İnşaa Edilecek Limanlar İçin İstimal Edilecek Gayrimenkulat ve Mevadı İnşaiye Hakkında Kanun
21.04.1927	1012	Düyunatı Sabıkanın Sureti Tediyesi Hakkındaki 12.04.1339 Tarihli Kanuna Müzeyyel Kanun
21.04.1927	1013	19.11.1341 Tarihli ve 664 Numaralı Kanuna Müzeyyel Kanun
21.04.1927	1014	Maiyet ve Refakatlerinde Veznedar ve Muhasibi Mesul Bulunan Posta ve Telgraf Başmüdürlerinin Kefaletten İstisnasına Dair Kanun
09.05.1927	1017	Ankara da İnşa Olunacak Bazı Mebanii Askeriye İçin 2 Milyon Liraya Kadar Taahhüdat İcrası Hakkında Kanun
09.05.1927	1018	Hakkı Rükube Malik Zabitan ve Memurini Askeriyeye Zati Binek Hayvanı Tedarik ve Mübaayasına Dair Kanun
09.05.1927	1020	Beynelmilel Yataklı Vagonlar Şirketine Ait Yataklı ve Yemekli Vagonların Gümrük Resminden Muafiyetine Dair 08.06.1926 Tarihli Kanuna Müzeyyel Kanun
12.05.1927	1021	Muvazzaf Tabiblerle Mekatibi Umumiye Tababetlerini İfa Edecek Olanlara Verilecek Ücret Hakkında Kanun
12.05.1927	1022	Mücadelei Milliyeye İştirak Etmeyen Memurin Hakkındaki Kanunun 4 üncü Maddesine Zeyil İlavesine Dair Kanun
12.05.1927	1024	Kamplara İştirak Edecek Talebe ve Muallimlerin İaşesi Hakkında Kanun
16.05.1927	1028	Tahsisatı Fevkalade ile Memaliki Ecnebiyeye Tahsil İçin Gönderilecek Zabitanı Bahriyenin Tahsisat ve Harcırah ve Sairesi Hakkındaki 07.12.1329 Tarihli Muvakkat Kanunun İlgası Hakkında Kanun
16.05.1927	1029	Rize Vilayeti ile Borçka Nahiyesinde Fındık, Portakal, Mandalina, Limon ve Çay Yetiştirilmesi Hakkındaki 06.02.1340 Tarih ve 407 Numaralı Kanuna Müzeyyel Kanun
16.05.1927	1030	Jandarma Zabit Mektebinden Neşet Eden Zabit Vekillerine Teçhizat Bedeli İtası Hakkıda Kanun
16.05.1927	1031	Evkaf Müdiriyeti Umumiyesince Yaptırılacak Binalar İçin İki Milyon Liraya Kadar Taahhüdat İcrasına Mezuniyet Verilmesine Dair Kanun
16.05.1927	1033	Düveli İtilafiyece Mütareke Esnasında Bila Bedel İşgal Edilmiş Olan Müsakkafat ve Arazi Vergilerinin Affı Hakkında Kanun
19.05.1927	1036	Ziraat Müdür veya Memurlarının Vazifeleri Hakkında Kanun
21.05.1927	1037	Posta ve Telgraf İdaresinde Bulunan Bazı Eski Pulların Türk Tayyare Cemiyetine Sattırılması ve Hasılatı Safiyeden Nısfının Mezkur Cemiyete Tahsisi Hakkında Kanun
26.05.1927	1049	Tütün AIım ve Satım Muamelatının Kantariye Resminden İstisnası Hakkında Kanun
26.05.1927	1051	Muallim Mekteplerine Muavamet Hakkındaki 22.04.1926 Tarih ve 819 Numaralı Kanuna Müzeyyel 20.05.1926 Tarih ve 843 Numaralı Kanunun İkinci Maddesine İlave Olunacak Fıkra Hakkında Kanun
28.05.1927	1055	Teşviki Sanayi Kanunu
16.06.1927	1078	Bursa Kaplıcaları Türk Anonim Şirketine Evkaf Müdüriyeti Umumiyesinin İştirak Mezuniyetine Müteallik 09.06.1927 Tarihli Kanunun Tadiline Dair Kanun
16.06.1927	1080	Menafii Umumiyeye Hadim Müessesattan Hususi Binası Olmayanlara Birer Bina Satılmasına Dair Kanun
16.06.1927	1081	Memlahalar İşletme Tahsisatının Mütedavil Sermaye Halinde İstimaline Dair Kanun
16.06.1927	1085	Aydın Hattı İtilafnamesinin İmza ve Teatisi Mezuniyetine Dair Kanun
18.06.1927	1089	Askeri Maaşatına Mütedair 22.10.1339 Tarih 360 Numaralı Kanunun 5 inci Maddesini Muadil Kanun
18.06.1927	1091	Demiryolları ile Liman ve Su İşleri İçin 200 Milyon Liralık Bono İhracı Hakkındaki 25.12.1926 Tarih ve 944 Numaralı Kanuna Müzeyyel Kanun
19.06.1927	1097	Bazı Eşhasın Şark Menatıkından Garp Vilayetlerine Nakillerine Dair Kanun
20.06.1927	1109	Ziraat ve Baytar Enstitüleri ile Ali Mektepleri Tesisine ve Ziraat Tedrisatının Islahına Dair Kanun
21.06.1927	1116	İtibari Milli Bankası İmtiyazat ve Muafiyatının Türkiye İş Bankasına Devrine ve Devlete Ait İtibari Milli Bankası Hisse Senedatının Türkiye İş Bankası Hisse Senedatiyle Mübadelesine Dair Kanun
22.06.1927	1123	İşgale Uğrayan Bazı Mahallerde Vukubulan Muamelatı Tasarrufiye Hakkında Olunacak Muameleye Dair Kanun
22.06.1927	1124	İlk Mektep Muallim ve Muallim Muavinlerine Ait 20.05.1926 Tarihli Kanunun 2 nci Maddesine Bir Fıkra İlavesi Hakkında Kanun
22.06.1927	1128	Mühendis Mektebi Mezunlarının Hizmeti Askeriyelerinin Teciline Dair Kanun
18.07.1927	1130	Maarif Vergisi Hakkında Kanun
23.06.1927	1135	Mektep Vergisi Kanununun 3 üncü Maddesini Muaddil Kanun
23.06.1927	1137	Yemen den Avdet Edeceklerin Matlubatı Hakkında Kanun
23.06.1927	1138	Mahsubu Umumi Kanununun Bazı Mevadını Muaddil 27.01.1926 Tarih ve 726 Numaralı Kanunun 2 nci Maddesinde Muharrer Müddeti Müracaatın Temdidi Hakkında Kanun
23.06.1927	1139	Mülga Hazineyi Hassadan Matlubatı Tahakkuk Edenlerin Alacakları Hakkında Kanun
23.06.1927	1146	Kayseri Belediyesince 300 Bin Liraya Kadar Aktedilecek İstikraza Hazinenin Kefaletine Dair Kanun
25.06.1927	1158	Ankara-Ereğli Demiryolunun Geniş Olarak İnşası Mezuniyetine Dair Kanun
25.06.1927	1159	Tahriri Nüfus Kanununun 7 nci Maddesinin Devamı Meriyetine Dair Kanun
25.06.1927	1163	Hükümetle Estern Kumpanyası Arasında Münakit Mukavelename ile Zeyillerinin İmza ve Teatisine Mezuniyete Dair Kanun
25.06.1927	1166	Şurayı Devletin İfayı Vazifeye Mübaşereti Tarihine Kadar Memurin Muhakemat Encümeni ile Tetkik Heyeti Azası Hakkı Huzurlarının ve Mezkur Encümen ve Heyet Memurini Maaş ve Tahsisatının Sureti Tesviyesine Dair Kanun
05.12.1927	1177	19.11.1341 Tarih ve 664 Numaralı Kanuna Bir Madde Tezyiline ve Kanunu Mezküre Müzeyyel 21.04.1927 Tarih ve 1013 Numaralı Kanunun Birinci Maddesinin Tadiline Dair Kanun
05.12.1927	1178	1097 Numaralı Kanun Hükmünün Ref ine İcra Vekilleri Heyetinin Mezun Olduğuna Dair Kanun
05.01.1928	1191	Harekatı Askeriye Halinde Zabitan ve Memurini Askeriyeye Aynen Bir Nefer Tayini Verilmesi Hakkındaki 31.05.1926 Tarih ve 881 Numaralı Kanuna Müzeyyel Kanun
16.01.1928	1198	Bahriye Vekaletinin İlgasına Dair Kanun
04.02.1928	1207	Yeniden Beş Milyon Liralık Madeni Ufaklık Meskukat Darp ve İhracı Mezuniyetine Dair Kanun
01.04.1928	1216	Mühendis Mektebinden Çıkacak Efendilere İkişeryüz Lira Avans Verilmesi Mezuniyetine Dair Kanun
14.04.1928	1223	İstanbul da Unkapanı ile Azapkapı Arasında Yaptırılacak Demir Köprünün İnşa Masarifi Karşılığı Olmak Üzere Bazı Zamaim İstifasına Dair Kanun
01.05.1928	1228	Türk Ocakları Merkez Heyetince Aktedilecek İstikraza Maliye Vekilinin Kefaleti Mezuniyetine Dair Kanun
01.05.1928	1229	Şehir ve Köy Yatı Mekteplerinin 1928 Masarifi Hakkında Kanun
01.05.1928	1230	22.06.1927 Tarih ve 1130 Numaralı Maarif Vergisi Kanununa Bazı Mevad Tezyiline Dair Kanun
03.05.1928	1232	Sirkeci ile Haydarpaşa Arasında Feribot Tesisatı Hakkında Keşfiyat İcrasına Dair Kanun
07.05.1928	1239	Şark Mıntıkasında Muayyen Vilayet ve Kazalarda Ceraim Takibatiyle Cezalarının Tecili Hakkında Kanun
07.05.1928	1240	Bazı Mebanii Sıhhiye İnşaası İçin İki Milyon Liraya Kadar Taahhüdat İcrası Mezuniyetine Dair Kanun
10.05.1928	1244	Sefain ve Müessesatı Askeriyei Bahriye İnşaası ve Esliha ve Mühimmat Mübaayası İçin 25 Milyon Liraya Kadar Taahhüdat İcrası Hakkında Kanun
12.05.1928	1247	1178 Numaralı Kanunun İkinci Maddesiyle Verilen Üç Aylık Müddetin Temdidine Dair Kanun
12.05.1928	1249	Divanı Muhasebat İlamlarının İcrasına Dair Kanun
12.05.1928	1253	Posta, Telgraf ve Telefon İdaresince Eşhasa Ait Akümülatörlerin Doldurulması Hakkında Kanun
12.05.1928	1260	Tabiiyet muamelatından Alınacak Harçlara Dair Kanun
17.05.1928	1264	Evkaf Müdiriyeti Umumiyesi Merkezi ile İstanbul Evkaf Müdüriyetinde İdare Encümenleri Teşkiline ve Vezaifine Dair Kanun
17.05.1928	1265	Anadolu Ajansı Şirketi Tarafından Çekilecek Dahili Telgrafnamelerin Ücretleri Hakkında Kanun
17.05.1928	1268	Hukuk Usulü Muhakemeleri Kanununun 400 üncü Maddesini Muaddil Kanun
17.05.1928	1269	Hakkı Rükuba Malik Zabitan ve Memurini Askeriyeye Binek Hayvanı Tedarik ve Mübaayası Hakkındaki 09.05.1927 Tarih ve 1018 Numaralı Kanunun İkinci Maddesinin Tadiline Dair Kanun
17.05.1928	1274	Mahsubu Umumi Kanununa Müzeyyel Kanun
19.05.1928	1278	Ordu, Bahriye ve Jandarma Zabitan ve Memurini Hakkındaki 07.06.1926 Tarih ve 912 Numaralı Kanunun Beşinci Maddesini Muadil Kanun
19.05.1928	1280	Askeri Liselerle Gedikli Küçük Zabit İhzari Mekteplerinde Ders Deruhte Eden İdare Amirlerine Verilecek Ücreti Maktualara Dair Kanun
21.05.1928	1289	Ali Karar Heyeti Hakkında Kanun
21.05.1928	1301	Bazı Müessesat Muafiyetleri Hakkındaki Ahkamın İlgasına Dair Kanun
22.05.1928	1305	22.06.1927 Tarih ve 1130 Numaralı Maarif Vergisi Kanununa Müzeyyel Kanun
23.05.1928	1315	Şifre Makinelerinin Men i İthal, İmal ve İstimalleri Hakkında Kanun
23.05.1928	1316	Şark Mıntıkasında Muayyen Vilayet ve Kazalarda Ceraim Takibatı ile Cezalarının Tecili Hakkındaki 1239 Numaralı Kanuna Müzeyyel Kanun
23.05.1928	1317	Mevcut Evrakı Nakdiyenin Yenileriyle İstipdaline Dair Olan Kanunun Üçüncü Maddesinde Muayyen Müddetin Temdidine Dair Kanun
23.05.1928	1319	28.05.1927 Tarih ve 1055 Numaralı Teşviki Sanayi Kanununa Müzeyyel Kanun
23.05.1928	1324	Damga Resmi Kanunu
23.05.1928	1326	Ordudan Jandarmaya Nakledilecek Muallem Efradın Maaş ve İaşe Bedelleri Hakkında Kanun
24.05.1928	1329	Limanlar İdaresi 1928 Kadrosuna Bazı Meşruhat Dercine Dair Kanun
24.05.1928	1334	12.04.1335 Tarihli Kararnamenin ilgasına Dair Kanun
24.05.1928	1335	Kuvayi Umumiyeden İhraç Edilmiş Olan Sefaini Harbiyenin Hazinece Satılması Hakkında Kanun
24.05.1928	1336	Samsun Sahil Demiryolları Türk Anonim Şirketince Aktedilecek 300 Bin Liraya Kadar İstikraza Maliye Vekilinin Kefaletine Dair Kanun
24.05.1928	1344	Bursa Ovasında Nilüfer ve Deliçay Mecralarının Islahı ve Serme Bataklığının Kurutulması ve Nilüfer Irmağı Üzerinde Bent İnşası İçin Teahhüt Mezuniyetine Dair Kanun
24.05.1928	1347	Van Gölü Seyrisefain İdaresinin Van Vilayeti İdarei Hususiyesine Devrine Dair Kanun
24.05.1928	1352	Ankara da İnşa Edilecek Vekalet ve Devair Binalariyle Memurin Apartmanları Hakkında Kanun
29.11.1928	1359	Tathir ve Tasnif Edildikten Sonra Transit Edilmek Üzere Hariçten Türkiye ye İthali İstenilecek Barsakların Kabulü Muvakkat Sureliyle Memlekete İthaline Dair Kanun
23.11.1928	1360	Türk Ocakları Merkez Heyetince Aktedilecek istikraza Maliye Vekilinin Kefaleti Mezuniyetine Dair Olan 01.05.1928 Tarih ve 1228 Numaralı Kanuna Müzeyyei Kanun
29.11.1928	1366	Ankara Şehri Otomatik Telefonu Hakkındaki 30 Mayıs - 13 Kanunuevvel 1926 Tarih ve 876, 937 Numaralı Kanunların Tadiline Dair Kanun
02.02.1929	1390	Teşviki Sanayi Kanununa Müzeyyel Kanunu Muaddil Kanun
18.02.1929	1395	Giresun Belediyesince Celbolunan Elektrik Tesisatı Levazımına Ait Gümrük Resminin Teşviki Sanayi Kanununa Tevfikan Affı Hakkında Kanun
23.02.1929	1400	Un Resminin Muvakkaten Tenzili Hakkında Kanun
18.03.1929	1406	Jandarma Efrat ve Küçük Zabitanının Maarif Vergisinden Muafiyetine Dair Olan 969 Numaralı Kanunun Birinci Maddesinin Tadiline Dair Kanun
23.03.1929	1407	Mübadil, Gayrı Mübadil, Muhacir Vesakeye Kanunlarına Tevkifan Tahsis Olunan Gayrimenkul Emvalin Tapuya Raptına Dair 28.05.1928 Tarih ve 1331 Numaralı Kanuna Müzeyyei. Kanun
23.03.1929	1408	İmha Edilen Evrakı Nakdiye Miktarının Tesbitine Dair Kanun
15.04.1929	1423	Ağıllar Hakkında Kanun
27.04.1929	1430	Kaçakçılığın Takibatında Kullanılmak Üzere Deniz Vesaiti Mübayaası ve Bazı Mahallerde Gümrük Binaları İnşası Hakkında Kanun
27.04.1929	1431	Ankara Şehri İmar Müdüriyeti Teşkilat ve Vazifesine Dair Olan 1351 Numara ve 28 Mayıs 1928 Tarihli Kanuna Müzeyyel Kanun
27.04.1929	1432	Yüksek Mühendis Mektebi Tamirat ve İnşaatına Dair Kanun
04.05.1929	1435	Askeri Hastahane, Garnizon ve Mektepleri İnşaatı Hakkında Kanun
04.05.1929	1436	Ankara da İnşa Olunacak Bazı Mebanii Askeriye İçin İki Milyon Liraya Kadar Taahhüdat İcrası Hakkındaki 9 Mayıs 1927 Tarih ve 1017 Numaralı Kanuna Müzeyyel Kanun
04.05.1929	1437	Ali Mektep Mezunlarından Devlet Hizmetine Gireceklere Verilecek Avans Hakkında Kanun
13.05.1929	1445	Tahlisiye İdaresinin Teşkilat ve Vezaifi Hakkında Kanun
16.05.1929	1450	Kibrit Fabrikası İnşası İçin Taahhüd İcrasına mezuniyeti Muntazammın Kanun
18.05.1929	1454	Bila Vasıta Vergilere Munzam Kesirlerin Tevhit ve Nisbetlerin Tadiline Dair Kanun
28.05.1929	1471	Ordu ve Jandarmaya Mensup Zabitlerle Efradın Vesair Binek Hakkı Olanların Kendi Malı Bineklerinin ve Orduya Alınan Ahali Nakliye Vasıtalarının Ödenmesine Dair Kanun
29.05.1929	1472	Bahriye Mektebi Muallimleri Hakkındaki 1120 Numaralı Kanunun İlgasına Dair Kanun
29.05.1929	1477	Zabitan ve Askeri Memurlar Maaşatı Hakkındaki Kanuna Müzeyyel Kanun
29.05.1929	1480	Ankara da İnşa Olunacak Nafia Vekaleti Binası Hakkında Kanun
29.05.1929	1482	Demiryolları ve Limanları ile Su İşleri İçin 240 Milyon Liralık Tahsisat İtasına ve Bu Miktara Kadar Taahhüdat İcrasına Dair Kanun
01.06.1929	1489	İzmir Belediyesince Aktedilecek İki Milyon Liralık, İstikraza Kefalet İçin Maliye Vekaletine Mezuniyet Verilmesi Hakkında Kanun
01.06.1929	1490	Askerlik Dersleri Muallimlerinin Ücretleri Hakkında Kanun
01.06.1929	1491	İdarei Hususiyelere Ait Maarif Hissesinden San at Mekteplerine Tefrik Edecek Mebaliğe Dair Kanun
01.06.1929	1498	Maaşatın Tevhid ve Teadülü Hakkındaki 1452 Numaralı Kanuna Müzeyyel Kanun
01.06.1929	1500	Hükümetle İzmir- Kasaba Demiryolu ve Temdidi Şirketi Arasında Kararlaştırılan İtilafnamenin İmza ve Teatisine Mezuniyeti Mutazammin Kanun
01.06.1929	1501	Hükümetle Şark Demiryolları Şirketi Arasında Kararlaştırılan İtilafname ile Melfufları Olan İki Adet Mektubun Tasdikine Dair Kanun
02.06.1929	1504	Ankara Şehri imar Müdiriycti Teşkilat ve Vezaifine Dair 1351 Numaralı Kanuna Müzeyyel Kanun
02.06.1929	1507	1111 Numara ve 02.06.1927 Tarihli Askerlik Mükellefiyeti Kanununun İkinci Maddesinin 5 inci Fıkrasiyle 35 inci Maddesinin (H) Fıkrasını ve 885 Numara ve 03.05.1926 Tarih i İskan Kanununun 11 inci Maddesine Muaddil Kanun
02.06.1929	1513	1927 Mali Senesi Nihayetine Kadar Milli Hükümet Bütçesine Mütealik Borçlar Hakkında Kanun;
02.06.1929	1517	Yeniden İnşa Edilecek Meclis Matbaası Hakkında Kanun
02.06.1929	1519	Ankara Şehri Otomatik Telefon Santralının Tevsii İçin Taahüdat İcrasına Dair Kanun
02.06.1929	1522	Bütçelerinde Maarife Muhtas Varidatı Maarif Hizmetlerine Kafi Gelmiyen Vilayetlerin 1929 Mali Senesi Masrafları Hakkında Kanun
02.06.1929	1524	Samsun Sahil Demiryolları Hisse Senedatının Mubayaasına Dair Kanun
02.06.1929	1525	Şose ve Köprüler Kanunu
02.06.1929	1527	Ziraat Makinelerinde ve Ziraatle İstimal Olunan Mevadı Müştaile ve Muharrike ile Müstahzaratı Kimyeviyenin Rüsumu Hakkındaki 22.02.1926 Tarih ve 752 Numaralı Kanunun Bazı Maddelerinin Tadiline ve Mezkur Kanuna Bazı Mevad Tezyifine Dair Kanun
03.06.1929	1528	Yabani Ağaçların Aşılanması Hakkında Kanun
03.06.1929	1529	Aydın- İzmir İzmir- Kasaba ve Temdidi Demiryollarında Posta ve Telgraf Muamelesi İfası İçin Dahiliye Vekaleti ile Mezkür Demiryolları İdareleri Arasında Aktolunan Mukavelenamelerin Tasdiki Hakkında Kanun
14.12.1929	1543	Teşviki Sanayii Kanununun 26 ve 42 nci Maddelerinin Tadili Hakkında Kanun
20.01.1930	1550	1244 Numaralı Kanuna Müzeyyel Kanun
20.02.1930	1562	İdarei Umumiyei Vilayet Kanununun Muaddel 116 ve 140 ıncı Maddelerinin Tadiline Dair Kanun
20.02.1930	1563	Türk Ocakları Merkez Heyetince Aktedilecek İstikraza Maliye Vekilinin Kefalete Mezuniyetine Dair Kanun
10.03.1930	1569	Ankara Otomatik Telefon Kanununun Yedinci Maddesine Bir Fıkra İlavesi Hakkında Kanun
27.03.1930	1575	Gazete Primleri Hakkında Kanun
10.04.1930	1582	Hukuk Usulü Muhakemeleri Kanununun 36 ncı Maddesinin 4 üncü Fıkrasını Muaddil Kanun
14.04.1930	1587	Hudut ve Sahiller Sıhhat Umum Müdürlüğü Memurları Maaşatının Tevhid ve Teadülü Hakkındaki Kanun
24.04.1930	1596	Gazi Mustafa Kemal Köprüsünün İnşaasına Dair 1223 Numaralı Kanuna Müzeyyel Kanun
